Zipcode,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Alcoholic beverages,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Education,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Reading,Basic Variables Current Year Estimates (2020) Total Households,Housing Units Current Year Estimates (2020) Housing Value Median Housing Value,Basic Variables Current Year Estimates (2020) School Enrollment (Pop 3+) Total Total Population 3+,Basic Variables Current Year Estimates (2020) Income Household Median Household Income,Basic Variables Current Year Estimates (2020) Population Density
28902,465.84,939.79,95.49,670,187922,1574,44527,70.25
28904,454.17,872.43,92.9,4091,174283,8901,47128,46.86
28909,451.67,858.58,88.95,412,167850,930,44856,91.32
30002,723.61,1523.46,84.53,2677,302231,5943,61227,3367.52
30004,969.9,2576.99,110.25,23535,446906,64049,124270,1116.04
30005,1003.45,2851.09,107.23,13518,435551,38261,126454,2513.56
30008,595.57,1123.82,70.7,11935,157617,34129,51003,3636.31
30009,862.31,1929.69,98.35,8140,334114,18385,83917,2084.71
30011,789.03,1956.95,94.35,5949,185761,17113,68717,625.98
30012,553.01,1097.31,70.27,10679,149125,29572,44140,716.01
30013,740.1,1564.75,89.87,10038,184300,26497,64055,960.45
30014,631.68,1397.3,83.27,13875,171629,37375,53007,322.18
30016,658.85,1417.33,82.94,18646,156549,54118,56985,603.98
30017,868.62,2015.76,101.53,7974,264293,22778,85843,2020.62
30019,871.5,2142.38,106.08,15020,278380,46302,86926,984.28
30021,507.85,980.74,57.35,8069,156370,21271,36101,6439.53
30022,980.06,2599.76,109.29,26335,419799,70671,115216,3018.57
30024,941.03,2444.22,106.36,27452,347795,81648,112501,1968.86
30025,713.19,1643.68,93.59,3741,191140,10057,59515,139
30028,776.11,1781.51,94.29,10779,315561,30228,85312,617.18
30030,826.61,1762.86,97.26,13654,343890,28156,81169,4254.84
30032,532.75,1008.52,70.24,18366,115299,47607,42049,3637.91
30033,788.27,1580.74,94.12,14726,285092,32241,71069,3788.84
30034,703.47,1365.44,86.65,17458,129510,44744,57504,2652.36
30035,550.48,1086.76,69.04,8366,111063,21497,47429,2650.44
30038,708.98,1457.91,77.98,15884,148376,39365,58514,1400.3
30039,783.31,1653.36,88.3,15690,189994,45326,67831,1803.51
30040,808.32,1840.95,96.59,27349,367889,75142,99521,1334.66
30041,831.73,1999.67,103.29,25022,416395,69011,113183,1041.17
30043,865.64,2002.69,94.74,29248,254913,85107,82061,2654.75
30044,697.93,1449.27,78.52,30328,177250,87866,57650,3640.87
30045,825.29,1801.48,93.32,12428,243032,38961,77203,1921.18
30046,640.14,1240.78,74.48,13654,173916,37438,54812,2465.63
30047,785.6,1808.68,100.31,21207,234615,60623,73604,2257.51
30052,786.17,1801.35,94.13,23327,210280,66378,70700,756.55
30054,748.73,1750.31,102.41,4496,211577,12759,66764,318.27
30055,699.39,1656.5,97.22,1361,179430,3664,60925,68.6
30056,664.88,1497.43,90.64,964,164403,2747,54751,61.03
30058,641.59,1399.83,71.69,21242,127721,56052,51309,1877.56
30060,554.97,995.65,65.36,13523,160951,36715,44524,2957.32
30062,911.02,2234.9,110.95,24721,309122,64440,100936,2582.48
30064,853.94,1968.35,104.97,18968,287760,48534,92388,1635.83
30066,867.21,2064.75,104.61,21841,267008,56325,88276,2095.7
30067,685.12,1307.61,77.26,20270,296454,44515,59815,3133.52
30068,900.23,2151.77,117.26,12852,384082,32476,117110,2243.07
30069,395.86,641.75,43.48,5,116032,6,35186,1.82
30071,607.38,1116.07,66.91,8173,194553,24484,47436,2067.73
30072,485.06,1016.64,59.56,326,106238,707,37635,3925.11
30075,983.53,2570.65,118.54,21011,392961,54878,123164,1866.28
30076,850.41,1878.25,102.25,18214,319007,46151,88387,2927.31
30078,784.84,1811.21,95.37,12650,217080,35295,72369,2036.85
30079,634.98,1232.76,69.27,1500,205092,3385,46544,3175.54
30080,737.89,1279.14,77.4,24068,269113,49024,64348,4420.53
30082,821.4,1568.8,94.25,12743,269710,28777,82441,2772.59
30083,594.98,1233.77,70.98,20330,129779,52135,46684,3255.19
30084,735.64,1541,90.13,15520,225567,38281,63523,2623.57
30087,818.36,1846.19,102.66,13808,200031,36788,77257,1544.98
30088,721.11,1562.64,81.64,9839,115519,25744,58067,3402.98
30092,742.28,1678.65,86.27,13410,328511,31662,64319,2940.8
30093,542.24,927.34,56.14,18536,137283,54029,41213,4840.17
30094,774.37,1799.02,98.52,11825,185627,32252,71613,810.6
30096,671.95,1316.56,75.07,27753,234412,67173,54822,3084.64
30097,968.58,2471.48,105.47,17504,395816,49382,111784,2159.29
30101,841.01,2121.63,99.75,21156,257333,60645,86211,1427.25
30102,773.94,1721.52,90.53,15453,171784,42566,70663,1323.18
30103,642.43,1419.62,85.41,5608,154276,14895,51654,152.64
30104,617.09,1483.91,87.12,1745,130246,4693,50369,141.32
30105,638.63,1444.22,96.47,1002,149536,2465,56776,40.16
30106,646.53,1248.94,73.27,7846,154162,19950,55676,1680.71
30107,744.57,1663.74,97.72,5640,269483,15792,76315,146.17
30108,612.87,1243.85,84.12,3086,133197,7680,47897,85.96
30110,621.31,1368.56,79.44,4982,128587,12962,49499,207.8
30111,594.61,1129.1,70.26,91,141355,187,50279,537.82
30113,551,1234.59,77.07,2556,128871,6644,42161,63.23
30114,702.9,1510.07,87.5,19934,283929,54996,69513,579
30115,827.23,1931.02,101.39,15949,297961,45855,89526,647.74
30116,737.55,1589.16,89.98,8617,149811,23766,57173,227.6
30117,611.66,1223.15,73.94,13454,147459,36921,45145,353.23
30118,363.81,906.87,46.57,1,136576,713,32946,3080.68
30120,734.8,1647.81,89.72,14616,172014,38951,57240,443.22
30121,692.67,1496.43,85.12,9170,159192,24013,52938,399.84
